payment_id,order_id,amount,method,gateway_fee,status
PAY-97,97,434.35,WIRE,12.9,SETTLED
PAY-98,98,1128.3,PAYPAL,33.02,SETTLED
PAY-99,99,705.1,CREDIT_CARD,20.75,SETTLED
PAY-104,104,449.78,PAYPAL,13.34,SETTLED
PAY-106,106,618.4,APPLE_PAY,18.23,SETTLED
PAY-107,107,674.21,APPLE_PAY,19.85,SETTLED
PAY-108,108,746.31,WIRE,21.94,SETTLED
PAY-109,109,378.57,WIRE,11.28,SETTLED
PAY-112,112,797.44,WIRE,23.43,SETTLED
PAY-113,113,130.2,PAYPAL,4.08,SETTLED
PAY-114,114,971.74,CREDIT_CARD,28.48,SETTLED
PAY-115,115,1181.04,CREDIT_CARD,34.55,SETTLED
PAY-118,118,1073.34,APPLE_PAY,31.43,SETTLED
PAY-119,119,227.55,CREDIT_CARD,6.9,SETTLED
PAY-121,121,965.67,WIRE,28.3,SETTLED
PAY-122,122,1141.05,WIRE,33.39,SETTLED
PAY-124,124,897.51,PAYPAL,26.33,SETTLED
PAY-125,125,1011.04,WIRE,29.62,SETTLED
PAY-127,127,861.98,PAYPAL,25.3,SETTLED
PAY-128,128,1073.77,STRIPE,31.44,SETTLED
PAY-129,129,471.98,STRIPE,13.99,SETTLED
PAY-130,130,509.54,APPLE_PAY,15.08,SETTLED
PAY-134,134,909.1,WIRE,26.66,SETTLED
PAY-136,136,534.29,PAYPAL,15.79,SETTLED
PAY-141,141,326.98,APPLE_PAY,9.78,SETTLED
PAY-142,142,418.25,APPLE_PAY,12.43,SETTLED
PAY-143,143,1005.19,WIRE,29.45,SETTLED
PAY-144,144,1199.89,CREDIT_CARD,35.1,SETTLED
PAY-145,145,910.0,CREDIT_CARD,26.69,SETTLED
PAY-147,147,685.48,PAYPAL,20.18,SETTLED
PAY-148,148,217.99,CREDIT_CARD,6.62,SETTLED
PAY-149,149,1158.37,CREDIT_CARD,33.89,SETTLED
PAY-150,150,699.44,STRIPE,20.58,SETTLED
PAY-151,151,718.68,PAYPAL,21.14,SETTLED
PAY-153,153,429.7,PAYPAL,12.76,SETTLED
PAY-154,154,617.03,APPLE_PAY,18.19,SETTLED
PAY-160,160,349.14,APPLE_PAY,10.43,SETTLED
PAY-162,162,603.28,APPLE_PAY,17.8,SETTLED
PAY-163,163,438.69,PAYPAL,13.02,SETTLED
PAY-165,165,629.62,STRIPE,18.56,SETTLED
PAY-168,168,129.8,STRIPE,4.06,SETTLED
PAY-169,169,803.47,WIRE,23.6,SETTLED
PAY-171,171,849.37,PAYPAL,24.93,SETTLED
PAY-172,172,162.37,CREDIT_CARD,5.01,SETTLED
PAY-174,174,891.55,WIRE,26.15,SETTLED
PAY-176,176,369.57,PAYPAL,11.02,SETTLED
PAY-177,177,855.46,CREDIT_CARD,25.11,SETTLED
PAY-178,178,672.96,APPLE_PAY,19.82,SETTLED
PAY-179,179,1049.81,APPLE_PAY,30.74,SETTLED
PAY-181,181,1130.46,CREDIT_CARD,33.08,SETTLED
PAY-183,183,199.04,CREDIT_CARD,6.07,SETTLED
PAY-184,184,159.77,WIRE,4.93,SETTLED
PAY-189,189,758.11,CREDIT_CARD,22.29,SETTLED
PAY-190,190,303.04,STRIPE,9.09,SETTLED
PAY-191,191,502.05,PAYPAL,14.86,SETTLED
PAY-192,192,293.14,APPLE_PAY,8.8,SETTLED
PAY-193,193,831.11,WIRE,24.4,SETTLED
PAY-194,194,521.66,STRIPE,15.43,SETTLED
PAY-195,195,995.42,STRIPE,29.17,SETTLED
PAY-196,196,722.15,APPLE_PAY,21.24,SETTLED
PAY-197,197,573.06,APPLE_PAY,16.92,SETTLED
PAY-198,198,610.56,CREDIT_CARD,18.01,SETTLED
PAY-200,200,732.38,STRIPE,21.54,SETTLED
PAY-202,202,699.97,WIRE,20.6,SETTLED
PAY-206,206,1032.13,APPLE_PAY,30.23,SETTLED
PAY-207,207,801.85,WIRE,23.55,SETTLED
PAY-208,208,556.69,PAYPAL,16.44,SETTLED
PAY-209,209,1164.82,WIRE,34.08,SETTLED
PAY-210,210,796.04,APPLE_PAY,23.39,SETTLED
PAY-211,211,241.35,APPLE_PAY,7.3,SETTLED
PAY-215,215,857.54,CREDIT_CARD,25.17,SETTLED
PAY-217,217,564.51,STRIPE,16.67,SETTLED
PAY-219,219,510.28,STRIPE,15.1,SETTLED
PAY-222,222,345.97,WIRE,10.33,SETTLED
PAY-223,223,988.25,PAYPAL,28.96,SETTLED
PAY-225,225,546.93,PAYPAL,16.16,SETTLED
PAY-227,227,1046.13,APPLE_PAY,30.64,SETTLED
PAY-228,228,1030.1,PAYPAL,30.17,SETTLED
PAY-230,230,604.49,WIRE,17.83,SETTLED
PAY-233,233,503.77,APPLE_PAY,14.91,SETTLED
PAY-234,234,419.5,CREDIT_CARD,12.47,SETTLED
PAY-235,235,1025.76,PAYPAL,30.05,SETTLED
PAY-237,237,297.03,CREDIT_CARD,8.91,SETTLED
PAY-239,239,838.92,PAYPAL,24.63,SETTLED
PAY-240,240,366.17,STRIPE,10.92,SETTLED
PAY-241,241,646.78,STRIPE,19.06,SETTLED
PAY-242,242,226.58,APPLE_PAY,6.87,SETTLED
PAY-244,244,293.98,PAYPAL,8.83,SETTLED
PAY-245,245,1080.71,WIRE,31.64,SETTLED
PAY-246,246,107.16,PAYPAL,3.41,SETTLED
PAY-248,248,255.08,APPLE_PAY,7.7,SETTLED
PAY-249,249,299.9,WIRE,9.0,SETTLED
PAY-250,250,1191.38,APPLE_PAY,34.85,SETTLED
PAY-251,251,29.56,APPLE_PAY,1.16,SETTLED
PAY-252,252,935.37,PAYPAL,27.43,SETTLED
PAY-253,253,771.21,STRIPE,22.67,SETTLED
PAY-254,254,1086.02,APPLE_PAY,31.79,SETTLED
PAY-255,255,703.9,PAYPAL,20.71,SETTLED
PAY-256,256,902.03,STRIPE,26.46,SETTLED
PAY-260,260,968.99,STRIPE,28.4,SETTLED
PAY-261,261,1034.97,WIRE,30.31,SETTLED
PAY-262,262,126.56,PAYPAL,3.97,SETTLED
PAY-264,264,709.78,STRIPE,20.88,SETTLED
PAY-269,269,1195.19,STRIPE,34.96,SETTLED
PAY-272,272,1003.76,PAYPAL,29.41,SETTLED
PAY-273,273,834.53,APPLE_PAY,24.5,SETTLED
PAY-274,274,1029.43,PAYPAL,30.15,SETTLED
PAY-279,279,307.41,WIRE,9.21,SETTLED
PAY-280,280,100.96,WIRE,3.23,SETTLED
PAY-281,281,979.4,STRIPE,28.7,SETTLED
PAY-284,284,175.53,STRIPE,5.39,SETTLED
PAY-286,286,169.58,CREDIT_CARD,5.22,SETTLED
PAY-287,287,581.97,WIRE,17.18,SETTLED
PAY-288,288,553.37,CREDIT_CARD,16.35,SETTLED
PAY-291,291,598.52,CREDIT_CARD,17.66,SETTLED
PAY-292,292,737.79,PAYPAL,21.7,SETTLED
PAY-294,294,469.47,PAYPAL,13.91,SETTLED
PAY-296,296,1026.3,STRIPE,30.06,SETTLED
PAY-298,298,996.35,CREDIT_CARD,29.19,SETTLED
PAY-299,299,523.58,STRIPE,15.48,SETTLED
PAY-302,302,676.52,WIRE,19.92,SETTLED
PAY-303,303,810.62,APPLE_PAY,23.81,SETTLED
PAY-304,304,1162.71,PAYPAL,34.02,SETTLED
PAY-305,305,701.94,APPLE_PAY,20.66,SETTLED
PAY-306,306,1019.78,WIRE,29.87,SETTLED
PAY-307,307,155.56,STRIPE,4.81,SETTLED
PAY-310,310,342.46,PAYPAL,10.23,SETTLED
PAY-311,311,234.06,APPLE_PAY,7.09,SETTLED
PAY-312,312,187.41,WIRE,5.73,SETTLED
PAY-313,313,463.91,STRIPE,13.75,SETTLED
PAY-314,314,387.73,WIRE,11.54,SETTLED
PAY-316,316,910.23,CREDIT_CARD,26.7,SETTLED
PAY-317,317,542.87,WIRE,16.04,SETTLED
PAY-320,320,820.3,WIRE,24.09,SETTLED
PAY-321,321,73.59,CREDIT_CARD,2.43,SETTLED
PAY-322,322,261.22,STRIPE,7.88,SETTLED
PAY-323,323,361.55,APPLE_PAY,10.78,SETTLED
PAY-325,325,610.31,APPLE_PAY,18.0,SETTLED
PAY-326,326,534.74,PAYPAL,15.81,SETTLED
PAY-329,329,222.81,PAYPAL,6.76,SETTLED
PAY-330,330,535.32,APPLE_PAY,15.82,SETTLED
PAY-332,332,900.05,STRIPE,26.4,SETTLED
PAY-333,333,622.37,WIRE,18.35,SETTLED
PAY-334,334,1088.99,STRIPE,31.88,SETTLED
PAY-335,335,141.31,STRIPE,4.4,SETTLED
PAY-341,341,959.67,PAYPAL,28.13,SETTLED
PAY-343,343,87.13,CREDIT_CARD,2.83,SETTLED
PAY-348,348,976.94,CREDIT_CARD,28.63,SETTLED
PAY-354,354,131.52,PAYPAL,4.11,SETTLED
PAY-359,359,810.74,APPLE_PAY,23.81,SETTLED
PAY-361,361,1142.38,APPLE_PAY,33.43,SETTLED
PAY-362,362,287.32,CREDIT_CARD,8.63,SETTLED
PAY-363,363,1016.43,WIRE,29.78,SETTLED
PAY-366,366,233.4,STRIPE,7.07,SETTLED
PAY-368,368,1164.11,APPLE_PAY,34.06,SETTLED
PAY-369,369,650.13,APPLE_PAY,19.15,SETTLED
PAY-370,370,454.05,APPLE_PAY,13.47,SETTLED
PAY-371,371,938.19,APPLE_PAY,27.51,SETTLED
PAY-372,372,983.93,PAYPAL,28.83,SETTLED
PAY-373,373,776.59,CREDIT_CARD,22.82,SETTLED
PAY-375,375,341.89,APPLE_PAY,10.21,SETTLED
PAY-376,376,1136.77,APPLE_PAY,33.27,SETTLED
PAY-377,377,1117.96,APPLE_PAY,32.72,SETTLED
PAY-379,379,284.96,PAYPAL,8.56,SETTLED
PAY-380,380,182.37,APPLE_PAY,5.59,SETTLED
PAY-381,381,915.43,WIRE,26.85,SETTLED
PAY-382,382,1088.91,STRIPE,31.88,SETTLED
PAY-383,383,667.59,APPLE_PAY,19.66,SETTLED
PAY-384,384,935.88,CREDIT_CARD,27.44,SETTLED
PAY-385,385,301.36,CREDIT_CARD,9.04,SETTLED
PAY-386,386,1007.29,WIRE,29.51,SETTLED
PAY-387,387,765.71,STRIPE,22.51,SETTLED
PAY-388,388,526.5,STRIPE,15.57,SETTLED
PAY-390,390,99.86,WIRE,3.2,SETTLED
PAY-393,393,901.83,CREDIT_CARD,26.45,SETTLED
PAY-394,394,304.53,WIRE,9.13,SETTLED
PAY-395,395,177.42,PAYPAL,5.45,SETTLED
PAY-396,396,999.85,APPLE_PAY,29.3,SETTLED
PAY-397,397,977.57,APPLE_PAY,28.65,SETTLED
PAY-398,398,366.26,STRIPE,10.92,SETTLED
PAY-399,399,392.4,APPLE_PAY,11.68,SETTLED
PAY-401,401,357.61,PAYPAL,10.67,SETTLED
PAY-402,402,166.88,APPLE_PAY,5.14,SETTLED
PAY-404,404,605.52,WIRE,17.86,SETTLED
PAY-405,405,965.35,APPLE_PAY,28.3,SETTLED
PAY-407,407,399.03,PAYPAL,11.87,SETTLED
PAY-408,408,546.18,APPLE_PAY,16.14,SETTLED
PAY-409,409,547.61,APPLE_PAY,16.18,SETTLED
PAY-410,410,774.57,APPLE_PAY,22.76,SETTLED
PAY-411,411,625.44,STRIPE,18.44,SETTLED
PAY-413,413,99.34,APPLE_PAY,3.18,SETTLED
PAY-416,416,697.23,APPLE_PAY,20.52,SETTLED
PAY-417,417,786.48,CREDIT_CARD,23.11,SETTLED
PAY-418,418,608.87,CREDIT_CARD,17.96,SETTLED
PAY-419,419,934.46,WIRE,27.4,SETTLED
PAY-420,420,838.9,CREDIT_CARD,24.63,SETTLED
PAY-421,421,1026.34,APPLE_PAY,30.06,SETTLED
PAY-422,422,976.41,PAYPAL,28.62,SETTLED
PAY-423,423,669.0,STRIPE,19.7,SETTLED
PAY-424,424,956.56,CREDIT_CARD,28.04,SETTLED
PAY-425,425,954.64,APPLE_PAY,27.98,SETTLED
PAY-426,426,445.86,APPLE_PAY,13.23,SETTLED
PAY-428,428,489.83,APPLE_PAY,14.51,SETTLED
PAY-430,430,777.96,WIRE,22.86,SETTLED
PAY-431,431,171.43,WIRE,5.27,SETTLED
PAY-432,432,925.98,WIRE,27.15,SETTLED
PAY-433,433,1001.04,PAYPAL,29.33,SETTLED
PAY-434,434,211.12,WIRE,6.42,SETTLED
PAY-435,435,1018.2,WIRE,29.83,SETTLED
PAY-436,436,167.7,WIRE,5.16,SETTLED
PAY-437,437,613.04,WIRE,18.08,SETTLED
PAY-438,438,222.02,WIRE,6.74,SETTLED
PAY-439,439,1014.19,CREDIT_CARD,29.71,SETTLED
PAY-440,440,73.64,STRIPE,2.44,SETTLED
PAY-443,443,969.53,APPLE_PAY,28.42,SETTLED
PAY-444,444,832.56,APPLE_PAY,24.44,SETTLED
PAY-446,446,388.85,PAYPAL,11.58,SETTLED
PAY-449,449,335.62,CREDIT_CARD,10.03,SETTLED
PAY-450,450,362.45,WIRE,10.81,SETTLED
PAY-452,452,1121.83,STRIPE,32.83,SETTLED
PAY-454,454,606.9,WIRE,17.9,SETTLED
PAY-456,456,77.42,WIRE,2.55,SETTLED
PAY-458,458,528.49,PAYPAL,15.63,SETTLED
PAY-461,461,106.77,WIRE,3.4,SETTLED
PAY-462,462,993.87,WIRE,29.12,SETTLED
PAY-463,463,171.82,PAYPAL,5.28,SETTLED
PAY-464,464,678.24,STRIPE,19.97,SETTLED
PAY-465,465,730.91,CREDIT_CARD,21.5,SETTLED
PAY-466,466,65.92,APPLE_PAY,2.21,SETTLED
PAY-468,468,407.0,STRIPE,12.1,SETTLED
PAY-470,470,618.63,APPLE_PAY,18.24,SETTLED
PAY-472,472,815.09,PAYPAL,23.94,SETTLED
PAY-473,473,724.35,WIRE,21.31,SETTLED
PAY-478,478,540.43,APPLE_PAY,15.97,SETTLED
PAY-479,479,504.25,CREDIT_CARD,14.92,SETTLED
PAY-480,480,632.05,APPLE_PAY,18.63,SETTLED
PAY-483,483,739.89,PAYPAL,21.76,SETTLED
PAY-485,485,851.78,APPLE_PAY,25.0,SETTLED
PAY-486,486,681.38,CREDIT_CARD,20.06,SETTLED
PAY-488,488,1146.44,CREDIT_CARD,33.55,SETTLED
PAY-489,489,1147.27,APPLE_PAY,33.57,SETTLED
PAY-490,490,901.86,WIRE,26.45,SETTLED
PAY-491,491,1120.97,CREDIT_CARD,32.81,SETTLED
PAY-493,493,810.4,STRIPE,23.8,SETTLED
PAY-494,494,138.23,APPLE_PAY,4.31,SETTLED
PAY-495,495,823.81,WIRE,24.19,SETTLED
PAY-496,496,500.15,STRIPE,14.8,SETTLED
PAY-497,497,398.98,CREDIT_CARD,11.87,SETTLED
PAY-501,501,1054.56,WIRE,30.88,SETTLED
PAY-506,506,410.21,PAYPAL,12.2,SETTLED
PAY-507,507,36.62,PAYPAL,1.36,SETTLED
PAY-511,511,238.04,PAYPAL,7.2,SETTLED
PAY-512,512,28.06,APPLE_PAY,1.11,SETTLED
PAY-513,513,1145.76,WIRE,33.53,SETTLED
PAY-514,514,328.63,STRIPE,9.83,SETTLED
PAY-515,515,807.99,STRIPE,23.73,SETTLED
PAY-517,517,773.68,WIRE,22.74,SETTLED
PAY-518,518,278.57,STRIPE,8.38,SETTLED
PAY-522,522,822.8,CREDIT_CARD,24.16,SETTLED
PAY-525,525,695.79,PAYPAL,20.48,SETTLED
PAY-528,528,555.05,APPLE_PAY,16.4,SETTLED
PAY-530,530,873.47,CREDIT_CARD,25.63,SETTLED
PAY-531,531,702.41,PAYPAL,20.67,SETTLED
PAY-532,532,658.57,APPLE_PAY,19.4,SETTLED
PAY-533,533,358.77,STRIPE,10.7,SETTLED
PAY-536,536,159.99,WIRE,4.94,SETTLED
PAY-537,537,878.87,CREDIT_CARD,25.79,SETTLED
PAY-538,538,1174.62,WIRE,34.36,SETTLED
PAY-541,541,58.02,CREDIT_CARD,1.98,SETTLED
PAY-542,542,263.18,CREDIT_CARD,7.93,SETTLED
PAY-544,544,494.67,STRIPE,14.65,SETTLED
PAY-545,545,185.36,WIRE,5.68,SETTLED
PAY-546,546,701.42,PAYPAL,20.64,SETTLED
PAY-547,547,1183.12,APPLE_PAY,34.61,SETTLED
PAY-548,548,344.68,STRIPE,10.3,SETTLED
PAY-552,552,910.21,STRIPE,26.7,SETTLED
PAY-553,553,1031.9,APPLE_PAY,30.23,SETTLED
PAY-554,554,683.62,WIRE,20.12,SETTLED
PAY-555,555,478.33,PAYPAL,14.17,SETTLED
PAY-556,556,1108.23,WIRE,32.44,SETTLED
PAY-557,557,80.81,WIRE,2.64,SETTLED
PAY-561,561,269.93,CREDIT_CARD,8.13,SETTLED
PAY-563,563,488.03,PAYPAL,14.45,SETTLED
PAY-564,564,469.18,PAYPAL,13.91,SETTLED
PAY-565,565,328.64,APPLE_PAY,9.83,SETTLED
PAY-566,566,967.32,PAYPAL,28.35,SETTLED
PAY-567,567,457.43,WIRE,13.57,SETTLED
PAY-568,568,894.68,WIRE,26.25,SETTLED
PAY-570,570,251.51,WIRE,7.59,SETTLED
PAY-571,571,609.18,APPLE_PAY,17.97,SETTLED
PAY-573,573,869.97,WIRE,25.53,SETTLED
PAY-574,574,638.25,CREDIT_CARD,18.81,SETTLED
PAY-575,575,506.62,STRIPE,14.99,SETTLED
PAY-576,576,278.09,CREDIT_CARD,8.36,SETTLED
PAY-580,580,652.17,WIRE,19.21,SETTLED
PAY-582,582,638.77,WIRE,18.82,SETTLED
PAY-586,586,791.41,APPLE_PAY,23.25,SETTLED
PAY-588,588,849.36,APPLE_PAY,24.93,SETTLED
PAY-589,589,687.71,CREDIT_CARD,20.24,SETTLED
PAY-590,590,269.47,PAYPAL,8.11,SETTLED
PAY-591,591,1110.51,WIRE,32.5,SETTLED
PAY-592,592,231.64,STRIPE,7.02,SETTLED
PAY-594,594,211.69,APPLE_PAY,6.44,SETTLED
PAY-596,596,610.94,CREDIT_CARD,18.02,SETTLED
PAY-599,599,54.96,APPLE_PAY,1.89,SETTLED
PAY-603,603,861.47,STRIPE,25.28,SETTLED
PAY-606,606,1132.69,PAYPAL,33.15,SETTLED
PAY-607,607,176.36,APPLE_PAY,5.41,SETTLED
PAY-609,609,125.75,WIRE,3.95,SETTLED
PAY-611,611,508.3,WIRE,15.04,SETTLED
PAY-612,612,694.91,APPLE_PAY,20.45,SETTLED
PAY-613,613,183.83,APPLE_PAY,5.63,SETTLED
PAY-614,614,94.66,APPLE_PAY,3.05,SETTLED
PAY-615,615,591.39,PAYPAL,17.45,SETTLED
PAY-616,616,870.66,WIRE,25.55,SETTLED
PAY-617,617,560.28,CREDIT_CARD,16.55,SETTLED
PAY-619,619,539.46,WIRE,15.94,SETTLED
PAY-620,620,374.51,STRIPE,11.16,SETTLED
PAY-622,622,887.15,STRIPE,26.03,SETTLED
PAY-623,623,463.75,CREDIT_CARD,13.75,SETTLED
PAY-626,626,537.38,CREDIT_CARD,15.88,SETTLED
PAY-628,628,305.58,APPLE_PAY,9.16,SETTLED
PAY-633,633,795.97,WIRE,23.38,SETTLED
PAY-634,634,684.6,PAYPAL,20.15,SETTLED
PAY-636,636,622.6,WIRE,18.36,SETTLED
PAY-640,640,368.61,STRIPE,10.99,SETTLED
PAY-641,641,388.03,STRIPE,11.55,SETTLED
PAY-644,644,374.31,PAYPAL,11.15,SETTLED
PAY-645,645,819.02,STRIPE,24.05,SETTLED
PAY-651,651,262.83,CREDIT_CARD,7.92,SETTLED
PAY-654,654,724.43,WIRE,21.31,SETTLED
PAY-655,655,430.55,STRIPE,12.79,SETTLED
PAY-656,656,1104.05,STRIPE,32.32,SETTLED
PAY-657,657,159.08,STRIPE,4.91,SETTLED
PAY-658,658,838.26,APPLE_PAY,24.61,SETTLED
PAY-660,660,594.27,STRIPE,17.53,SETTLED
PAY-662,662,391.2,CREDIT_CARD,11.64,SETTLED
PAY-663,663,1143.17,STRIPE,33.45,SETTLED
PAY-667,667,959.14,CREDIT_CARD,28.12,SETTLED
PAY-668,668,285.32,APPLE_PAY,8.57,SETTLED
PAY-672,672,916.8,STRIPE,26.89,SETTLED
PAY-674,674,550.68,CREDIT_CARD,16.27,SETTLED
PAY-676,676,267.66,PAYPAL,8.06,SETTLED
PAY-678,678,946.12,CREDIT_CARD,27.74,SETTLED
PAY-682,682,179.99,PAYPAL,5.52,SETTLED
PAY-683,683,847.68,STRIPE,24.88,SETTLED
PAY-684,684,997.61,STRIPE,29.23,SETTLED
PAY-689,689,882.5,PAYPAL,25.89,SETTLED
PAY-690,690,958.9,APPLE_PAY,28.11,SETTLED
PAY-691,691,603.76,PAYPAL,17.81,SETTLED
PAY-692,692,665.83,APPLE_PAY,19.61,SETTLED
PAY-693,693,1075.1,CREDIT_CARD,31.48,SETTLED
PAY-696,696,1060.93,PAYPAL,31.07,SETTLED
PAY-697,697,792.41,PAYPAL,23.28,SETTLED
PAY-698,698,81.11,STRIPE,2.65,SETTLED
PAY-700,700,582.63,STRIPE,17.2,SETTLED
PAY-702,702,984.19,STRIPE,28.84,SETTLED
PAY-704,704,141.78,STRIPE,4.41,SETTLED
PAY-706,706,100.73,WIRE,3.22,SETTLED
PAY-707,707,539.32,STRIPE,15.94,SETTLED
PAY-709,709,122.29,CREDIT_CARD,3.85,SETTLED
PAY-711,711,953.47,CREDIT_CARD,27.95,SETTLED
PAY-712,712,673.01,WIRE,19.82,SETTLED
PAY-713,713,939.18,PAYPAL,27.54,SETTLED
PAY-714,714,630.94,APPLE_PAY,18.6,SETTLED
PAY-715,715,782.48,APPLE_PAY,22.99,SETTLED
PAY-716,716,304.48,WIRE,9.13,SETTLED
PAY-717,717,1184.52,APPLE_PAY,34.65,SETTLED
PAY-719,719,920.02,WIRE,26.98,SETTLED
PAY-720,720,36.28,CREDIT_CARD,1.35,SETTLED
PAY-724,724,385.69,STRIPE,11.49,SETTLED
PAY-726,726,386.0,STRIPE,11.49,SETTLED
PAY-727,727,308.49,APPLE_PAY,9.25,SETTLED
PAY-729,729,160.94,CREDIT_CARD,4.97,SETTLED
PAY-730,730,605.77,WIRE,17.87,SETTLED
PAY-731,731,217.02,PAYPAL,6.59,SETTLED
PAY-732,732,930.29,APPLE_PAY,27.28,SETTLED
PAY-733,733,638.15,WIRE,18.81,SETTLED
PAY-734,734,605.45,CREDIT_CARD,17.86,SETTLED
PAY-736,736,321.04,CREDIT_CARD,9.61,SETTLED
PAY-737,737,894.12,CREDIT_CARD,26.23,SETTLED
PAY-738,738,74.26,STRIPE,2.45,SETTLED
PAY-739,739,1118.77,APPLE_PAY,32.74,SETTLED
PAY-740,740,399.73,PAYPAL,11.89,SETTLED
PAY-741,741,994.68,CREDIT_CARD,29.15,SETTLED
PAY-743,743,969.12,CREDIT_CARD,28.4,SETTLED
PAY-745,745,672.65,STRIPE,19.81,SETTLED
PAY-746,746,685.29,WIRE,20.17,SETTLED
PAY-747,747,567.43,STRIPE,16.76,SETTLED
PAY-749,749,1120.23,WIRE,32.79,SETTLED
PAY-750,750,770.41,CREDIT_CARD,22.64,SETTLED
PAY-752,752,645.18,APPLE_PAY,19.01,SETTLED
PAY-753,753,1167.62,PAYPAL,34.16,SETTLED
PAY-754,754,71.8,WIRE,2.38,SETTLED
PAY-756,756,705.31,APPLE_PAY,20.75,SETTLED
PAY-757,757,718.44,STRIPE,21.13,SETTLED
PAY-758,758,364.18,APPLE_PAY,10.86,SETTLED
PAY-759,759,395.31,CREDIT_CARD,11.76,SETTLED
PAY-760,760,180.61,STRIPE,5.54,SETTLED
PAY-761,761,213.96,APPLE_PAY,6.5,SETTLED
PAY-762,762,652.39,PAYPAL,19.22,SETTLED
PAY-764,764,972.96,WIRE,28.52,SETTLED
PAY-765,765,273.72,CREDIT_CARD,8.24,SETTLED
PAY-766,766,1162.71,CREDIT_CARD,34.02,SETTLED
PAY-767,767,327.0,APPLE_PAY,9.78,SETTLED
PAY-769,769,565.21,CREDIT_CARD,16.69,SETTLED
PAY-770,770,999.84,STRIPE,29.3,SETTLED
PAY-773,773,253.35,STRIPE,7.65,SETTLED
PAY-774,774,1087.99,CREDIT_CARD,31.85,SETTLED
PAY-778,778,350.23,WIRE,10.46,SETTLED
PAY-781,781,350.14,STRIPE,10.45,SETTLED
PAY-783,783,1187.5,WIRE,34.74,SETTLED
