refund_id,order_id,amount,reason,processed_at
REF-705,705,932.68,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-708,708,746.97,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-721,721,617.8,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-722,722,519.82,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-735,735,1034.04,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-744,744,1041.92,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-751,751,1021.83,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-755,755,847.0,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-763,763,332.71,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-768,768,676.03,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-771,771,459.24,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-775,775,79.75,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-776,776,605.43,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-777,777,223.91,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-780,780,1061.68,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-784,784,425.96,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-787,787,644.73,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-800,800,711.5,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-802,802,786.03,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-805,805,382.05,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-811,811,33.45,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-814,814,1060.49,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-815,815,139.69,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-817,817,106.98,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-824,824,842.69,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-837,837,1159.44,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-845,845,676.51,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-848,848,196.58,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-852,852,792.65,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-853,853,64.21,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-871,871,78.59,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-874,874,1095.59,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-877,877,317.36,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-886,886,497.43,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-897,897,645.21,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-901,901,412.5,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-905,905,526.25,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-911,911,878.84,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-919,919,544.29,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-926,926,368.51,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-927,927,1094.22,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-929,929,195.99,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-937,937,492.3,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-938,938,834.08,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-939,939,785.64,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-942,942,233.89,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-950,950,1025.21,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-951,951,398.35,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-953,953,984.18,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-954,954,965.49,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-955,955,547.54,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-967,967,274.4,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-989,989,140.93,CUSTOMER_RETURN,2026-09-15T12:00:00Z
